U,I
0.0,0.0
0.01,4.545454545454546e-05
0.0,0.0
0.01,4.545454545454546e-05
0.02,9.090909090909092e-05
-0.039999999999999994,-0.00018181818181818178
0.0,0.0
0.02,9.090909090909092e-05
0.04,0.00018181818181818183
0.019999999999999997,9.090909090909089e-05
0.03,0.00013636363636363637
0.04,0.00018181818181818183
-0.030000000000000006,-0.0001363636363636364
0.04,0.00018181818181818183
0.04,0.00018181818181818183
-0.010000000000000002,-4.5454545454545465e-05
0.06,0.00027272727272727274
0.049999999999999996,0.00022727272727272725
0.06,0.00027272727272727274
0.08,0.00036363636363636367
0.060000000000000005,0.00027272727272727274
0.07,0.0003181818181818182
0.07,0.0003181818181818182
0.07,0.0003181818181818182
0.08,0.00036363636363636367
0.08,0.00036363636363636367
0.09,0.0004090909090909091
0.08,0.00036363636363636367
0.09,0.0004090909090909091
0.09,0.0004090909090909091
0.1,0.00045454545454545455
0.11,0.0005
0.11,0.0005
0.11,0.0005
0.11,0.0005
0.12,0.0005454545454545455
0.11,0.0005
0.11,0.0005
0.13,0.0005909090909090909
0.14,0.0006363636363636364
0.13,0.0005909090909090909
0.13,0.0005909090909090909
0.1,0.00045454545454545455
0.14,0.0006363636363636364
0.11,0.0005
0.13,0.0005909090909090909
0.13,0.0005909090909090909
0.16,0.0007272727272727273
0.16,0.0007272727272727273
0.13,0.0005909090909090909
0.16,0.0007272727272727273
0.16,0.0007272727272727273
0.17,0.0007727272727272728
0.16,0.0007272727272727273
0.16999999999999998,0.0007727272727272727
0.23,0.0010454545454545456
0.16999999999999998,0.0007727272727272727
0.18,0.0008181818181818182
0.17,0.0007727272727272728
0.2,0.0009090909090909091
0.2,0.0009090909090909091
0.2,0.0009090909090909091
0.17,0.0007727272727272728
0.21,0.0009545454545454546
0.21,0.0009545454545454546
0.21,0.0009545454545454546
0.21,0.0009545454545454546
0.23,0.0010454545454545456
0.22,0.001
0.23,0.0010454545454545456
0.22,0.001
0.2,0.0009090909090909091
0.24,0.001090909090909091
0.24,0.001090909090909091
0.22999999999999998,0.0010454545454545454
0.19999999999999998,0.000909090909090909
0.25,0.0011363636363636363
0.25,0.0011363636363636363
0.25,0.0011363636363636363
0.25,0.0011363636363636363
0.26,0.0011818181818181819
0.27,0.0012272727272727275
0.25,0.0011363636363636363
0.27,0.0012272727272727275
0.27,0.0012272727272727275
0.27,0.0012272727272727275
0.26,0.0011818181818181819
0.28,0.0012727272727272728
0.27999999999999997,0.0012727272727272726
0.28,0.0012727272727272728
0.27999999999999997,0.0012727272727272726
0.29,0.0013181818181818182
0.28,0.0012727272727272728
0.29,0.0013181818181818182
0.3,0.0013636363636363635
0.3,0.0013636363636363635
0.31,0.001409090909090909
0.36,0.0016363636363636363
0.32,0.0014545454545454547
0.33,0.0015
0.32,0.0014545454545454547
0.33,0.0015
0.26999999999999996,0.001227272727272727
0.33,0.0015
0.34,0.0015454545454545456
0.29,0.0013181818181818182
0.34,0.0015454545454545456
0.34,0.0015454545454545456
0.34,0.0015454545454545456
0.34,0.0015454545454545456
0.33999999999999997,0.0015454545454545454
0.35,0.0015909090909090907
0.33999999999999997,0.0015454545454545454
0.35,0.0015909090909090907
0.37,0.001681818181818182
0.36,0.0016363636363636363
0.37,0.001681818181818182
0.38,0.0017272727272727272
0.37,0.001681818181818182
0.38,0.0017272727272727272
0.4,0.0018181818181818182
0.39,0.0017727272727272728
0.32999999999999996,0.0014999999999999998
0.39,0.0017727272727272728
0.42,0.0019090909090909091
0.4,0.0018181818181818182
0.41,0.0018636363636363635
0.41,0.0018636363636363635
0.41,0.0018636363636363635
0.38,0.0017272727272727272
0.39999999999999997,0.001818181818181818
0.42,0.0019090909090909091
0.41,0.0018636363636363635
0.43,0.0019545454545454545
0.42,0.0019090909090909091
0.43,0.0019545454545454545
0.44,0.002
0.43,0.0019545454545454545
0.44,0.002
0.45,0.0020454545454545456
0.45,0.0020454545454545456
0.45,0.0020454545454545456
0.45,0.0020454545454545456
0.44,0.002
0.46,0.002090909090909091
0.45,0.0020454545454545456
0.47,0.0021363636363636363
0.47,0.0021363636363636363
0.45999999999999996,0.0020909090909090908
0.47,0.0021363636363636363
0.47,0.0021363636363636363
0.53,0.0024090909090909093
0.49,0.002227272727272727
0.49,0.002227272727272727
0.49,0.002227272727272727
0.5,0.0022727272727272726
0.52,0.0023636363636363638
0.5,0.0022727272727272726
0.5,0.0022727272727272726
0.51,0.002318181818181818
0.52,0.0023636363636363638
0.51,0.002318181818181818
0.52,0.0023636363636363638
0.52,0.0023636363636363638
0.51,0.002318181818181818
0.47000000000000003,0.0021363636363636363
0.53,0.0024090909090909093
0.54,0.002454545454545455
0.54,0.002454545454545455
0.55,0.0025
0.52,0.0023636363636363638
0.55,0.0025
0.55,0.0025
0.55,0.0025
0.56,0.0025454545454545456
0.56,0.0025454545454545456
0.55,0.0025
0.57,0.0025909090909090908
0.56,0.0025454545454545456
0.6,0.002727272727272727
0.57,0.0025909090909090908
0.58,0.0026363636363636363
0.59,0.0026818181818181815
0.58,0.0026363636363636363
0.56,0.0025454545454545456
0.55,0.0025
0.6,0.002727272727272727
0.61,0.0027727272727272726
0.61,0.0027727272727272726
0.58,0.0026363636363636363
0.6,0.002727272727272727
0.59,0.0026818181818181815
0.63,0.0028636363636363638
0.63,0.0028636363636363638
0.61,0.0027727272727272726
0.63,0.0028636363636363638
0.62,0.002818181818181818
0.63,0.0028636363636363638
0.63,0.0028636363636363638
0.64,0.0029090909090909093
0.64,0.0029090909090909093
0.65,0.0029545454545454545
0.64,0.0029090909090909093
0.65,0.0029545454545454545
0.65,0.0029545454545454545
0.65,0.0029545454545454545
0.67,0.0030454545454545456
0.69,0.003136363636363636
0.67,0.0030454545454545456
0.68,0.003090909090909091
0.67,0.0030454545454545456
0.68,0.003090909090909091
0.68,0.003090909090909091
0.67,0.0030454545454545456
0.69,0.003136363636363636
0.69,0.003136363636363636
0.69,0.003136363636363636
0.7,0.0031818181818181815
0.69,0.003136363636363636
0.71,0.003227272727272727
0.71,0.003227272727272727
0.71,0.003227272727272727
0.71,0.003227272727272727
0.72,0.0032727272727272726
0.72,0.0032727272727272726
0.72,0.0032727272727272726
0.73,0.003318181818181818
0.73,0.003318181818181818
0.72,0.0032727272727272726
0.74,0.003363636363636364
0.73,0.003318181818181818
0.75,0.003409090909090909
0.74,0.003363636363636364
0.75,0.003409090909090909
0.75,0.003409090909090909
0.75,0.003409090909090909
0.76,0.0034545454545454545
0.69,0.003136363636363636
0.76,0.0034545454545454545
0.76,0.0034545454545454545
0.77,0.0035
0.77,0.0035
0.77,0.0035
0.78,0.0035454545454545456
0.78,0.0035454545454545456
0.79,0.0035909090909090912
0.78,0.0035454545454545456
0.8,0.0036363636363636364
0.76,0.0034545454545454545
0.8,0.0036363636363636364
0.8,0.0036363636363636364
0.8,0.0036363636363636364
0.81,0.003681818181818182
0.81,0.003681818181818182
0.81,0.003681818181818182
0.82,0.003727272727272727
0.82,0.003727272727272727
0.83,0.0037727272727272726
0.84,0.0038181818181818182
0.84,0.0038181818181818182
0.88,0.004
0.84,0.0038181818181818182
0.8,0.0036363636363636364
0.79,0.0035909090909090912
0.81,0.003681818181818182
0.85,0.0038636363636363634
0.85,0.0038636363636363634
0.85,0.0038636363636363634
0.84,0.0038181818181818182
0.86,0.003909090909090909
0.87,0.0039545454545454545
0.89,0.004045454545454546
0.86,0.003909090909090909
0.87,0.0039545454545454545
0.88,0.004
0.88,0.004
0.88,0.004
0.89,0.004045454545454546
0.89,0.004045454545454546
0.88,0.004
0.89,0.004045454545454546
0.89,0.004045454545454546
0.91,0.004136363636363637
0.91,0.004136363636363637
0.92,0.004181818181818182
0.91,0.004136363636363637
0.92,0.004181818181818182
0.92,0.004181818181818182
0.92,0.004181818181818182
0.9299999999999999,0.004227272727272727
0.94,0.004272727272727273
0.93,0.004227272727272727
0.94,0.004272727272727273
0.94,0.004272727272727273
0.95,0.004318181818181818
0.95,0.004318181818181818
0.95,0.004318181818181818
0.95,0.004318181818181818
0.95,0.004318181818181818
0.95,0.004318181818181818
0.96,0.004363636363636364
0.96,0.004363636363636364
0.98,0.004454545454545454
0.96,0.004363636363636364
0.98,0.004454545454545454
0.97,0.004409090909090909
0.98,0.004454545454545454
0.99,0.0045
0.99,0.0045
0.99,0.0045
0.98,0.004454545454545454
1.0,0.004545454545454545
1.0,0.004545454545454545
0.99,0.0045
1.01,0.004590909090909091
0.98,0.004454545454545454
1.01,0.004590909090909091
1.0,0.004545454545454545
1.01,0.004590909090909091
1.02,0.004636363636363636
1.02,0.004636363636363636
1.02,0.004636363636363636
1.03,0.004681818181818182
1.03,0.004681818181818182
1.06,0.004818181818181819
1.04,0.0047272727272727275
1.05,0.004772727272727273
1.04,0.0047272727272727275
1.05,0.004772727272727273
1.04,0.0047272727272727275
1.05,0.004772727272727273
1.06,0.004818181818181819
1.06,0.004818181818181819
1.01,0.004590909090909091
1.06,0.004818181818181819
1.07,0.004863636363636364
1.08,0.00490909090909091
1.08,0.00490909090909091
1.11,0.005045454545454546
1.08,0.00490909090909091
1.08,0.00490909090909091
1.08,0.00490909090909091
1.07,0.004863636363636364
1.07,0.004863636363636364
1.1,0.005
1.1,0.005
1.12,0.005090909090909091
1.11,0.005045454545454546
1.08,0.00490909090909091
1.11,0.005045454545454546
1.14,0.0051818181818181815
1.13,0.005136363636363636
1.08,0.00490909090909091
1.13,0.005136363636363636
1.14,0.0051818181818181815
1.13,0.005136363636363636
1.1199999999999999,0.00509090909090909
1.15,0.005227272727272727
1.15,0.005227272727272727
1.13,0.005136363636363636
1.15,0.005227272727272727
1.15,0.005227272727272727
1.16,0.005272727272727273
1.16,0.005272727272727273
1.17,0.005318181818181818
1.16,0.005272727272727273
1.21,0.0055
1.17,0.005318181818181818
1.17,0.005318181818181818
1.18,0.005363636363636363
1.19,0.0054090909090909085
1.2,0.005454545454545454
1.18,0.005363636363636363
1.18,0.005363636363636363
1.19,0.0054090909090909085
1.18,0.005363636363636363
1.2,0.005454545454545454
1.25,0.005681818181818182
1.22,0.005545454545454545
1.2,0.005454545454545454
1.19,0.0054090909090909085
1.23,0.005590909090909091
1.22,0.005545454545454545
1.23,0.005590909090909091
1.23,0.005590909090909091
1.24,0.005636363636363636
1.16,0.005272727272727273
1.24,0.005636363636363636
1.24,0.005636363636363636
1.25,0.005681818181818182
1.25,0.005681818181818182
1.25,0.005681818181818182
1.26,0.0057272727272727275
1.2,0.005454545454545454
1.31,0.0059545454545454546
1.27,0.005772727272727273
1.27,0.005772727272727273
1.28,0.005818181818181819
1.28,0.005818181818181819
1.28,0.005818181818181819
1.27,0.005772727272727273
1.29,0.005863636363636363
1.29,0.005863636363636363
1.28,0.005818181818181819
1.29,0.005863636363636363
1.29,0.005863636363636363
1.3,0.005909090909090909
1.3,0.005909090909090909
1.31,0.0059545454545454546
1.3,0.005909090909090909
1.3,0.005909090909090909
1.3,0.005909090909090909
1.32,0.006
1.31,0.0059545454545454546
1.32,0.006
1.33,0.006045454545454546
1.33,0.006045454545454546
1.34,0.006090909090909091
1.34,0.006090909090909091
1.31,0.0059545454545454546
1.31,0.0059545454545454546
1.34,0.006090909090909091
1.32,0.006
1.33,0.006045454545454546
1.36,0.006181818181818182
1.36,0.006181818181818182
1.37,0.006227272727272728
1.37,0.006227272727272728
1.38,0.006272727272727272
1.37,0.006227272727272728
1.38,0.006272727272727272
1.38,0.006272727272727272
1.38,0.006272727272727272
1.38,0.006272727272727272
1.39,0.006318181818181817
1.4,0.006363636363636363
1.4,0.006363636363636363
